#,ID,Grade,Chance,Odds,Coins/Roll,XP/Roll,ShopPrice,League,Collections
55,chameleon,Extra,1200,1/1.2K,1200,5,2400,Bronze,Scaled | Exotic
56,octopus,Extra,1400,1/1.4K,1400,5,2800,Bronze,Ocean
57,axolotl,Extra,1700,1/1.7K,1700,5,3400,Bronze,Scaled | River & Pond | Exotic | Latin America
58,crocodile,Extra,2000,1/2.0K,2000,5,4000,Bronze,Scaled | River & Pond
59,cobra,Extra,2300,1/2.3K,2300,5,4600,Bronze,Scaled | Desert | Venomous
60,kangaroo,Extra,2500,1/2.5K,2500,5,5000,Bronze,Exotic
61,falcon,Extra,2800,1/2.8K,2800,5,5600,Bronze,Birds
62,raven,Extra,3000,1/3.0K,3000,5,6000,Bronze,Birds
63,hummingbird,Extra,3200,1/3.2K,3200,5,6400,Bronze,Birds
64,scorpion,Extra,3500,1/3.5K,3500,5,7000,Bronze,Bugs | Desert | Venomous
65,pufferfish,Extra,3700,1/3.7K,3700,5,7400,Bronze,Ocean | Venomous
66,fennec_fox,Extra,4000,1/4.0K,4000,5,8000,Bronze,Exotic | Desert | Canine Pack
67,pallas_cat,Extra,4200,1/4.2K,4200,5,8400,Bronze,Exotic | Felines | Asian
68,gorilla,Extra,4500,1/4.5K,4500,5,9000,Bronze,Savanna | Heavyweights
69,rhino,Extra,4800,1/4.8K,4800,5,9600,Bronze,Savanna | Heavyweights
70,lion,Rare,5000,1/5.0K,5000,5,10000,Silver,Savanna | Felines
71,cheetah,Rare,7000,1/7.0K,7000,5,14000,Silver,Savanna | Felines
72,jaguar,Rare,9000,1/9.0K,9000,5,18000,Silver,Latin America | Felines
73,shark,Rare,11000,1/11.0K,11000,5,22000,Silver,Ocean
74,bear,Rare,14000,1/14.0K,14000,5,28000,Silver,Forest | Heavyweights
75,wolf,Rare,17000,1/17.0K,17000,5,34000,Silver,Forest | Canine Pack
76,whale,Rare,20000,1/20.0K,20000,5,40000,Silver,Ocean | Heavyweights
77,walrus,Rare,24000,1/24.0K,24000,5,48000,Silver,Arctic | Heavyweights
78,hippo,Rare,28000,1/28.0K,28000,5,56000,Silver,River & Pond | Savanna | Heavyweights
79,jellyfish,Rare,32000,1/32.0K,32000,5,64000,Silver,Ocean | Venomous
80,squid,Rare,36000,1/36.0K,36000,5,72000,Silver,Ocean
81,anglerfish,Rare,40000,1/40.0K,40000,5,80000,Silver,Ocean
82,mammoth,Rare,44000,1/44.0K,44000,5,88000,Silver,Arctic | Heavyweights | Prehistoric
83,sabertooth,Rare,48000,1/48.0K,48000,5,96000,Silver,Felines | Prehistoric
84,slime,Superior,50000,1/50.0K,50000,5,100000,Gold,Living Objects
85,ghost,Superior,75000,1/75.0K,75000,5,150000,Gold,Undead
86,skeleton,Superior,100000,1/100.0K,100000,5,200000,Gold,Undead
87,zombie,Superior,140000,1/140.0K,140000,5,280000,Gold,Undead
88,robot,Superior,180000,1/180.0K,180000,5,360000,Gold,Living Objects
89,snowman,Superior,220000,1/220.0K,220000,5,440000,Gold,Arctic | Living Objects
90,teddy_bear,Superior,270000,1/270.0K,270000,5,540000,Gold,Living Objects
91,gingerbread_man,Superior,320000,1/320.0K,320000,5,640000,Gold,Living Objects
92,yeti,Superior,400000,1/400.0K,400000,5,800000,Gold,Arctic
93,mimic,Superior,480000,1/480.0K,480000,5,960000,Gold,Living Objects
94,griffin,Elite,500000,1/500.0K,500000,5,1000000,Gold,Mythical
95,kitsune,Elite,800000,1/800.0K,800000,5,1600000,Gold,Asian | Mythical
96,golem,Elite,1200000,1/1.2M,1200000,5,2400000,Gold,Heavyweights
97,vampire,Elite,1800000,1/1.8M,1800000,5,3600000,Gold,Undead
98,cerberus,Elite,2500000,1/2.5M,2500000,5,5000000,Gold,Canine Pack | Mythical | Dark Forces
99,minotaur,Elite,3500000,1/3.5M,3500000,5,7000000,Gold,Mythical
100,nightmare,Elite,4500000,1/4.5M,4500000,5,9000000,Gold,Dark Forces
101,dragon,Epic,5000000,1/5.0M,5000000,5,10000000,Diamond,Mythical
102,pegasus,Epic,8000000,1/8.0M,8000000,5,16000000,Diamond,Mythical
103,alien,Epic,15000000,1/15.0M,15000000,5,30000000,Diamond,Mythical
104,astronaut,Epic,22000000,1/22.0M,22000000,5,44000000,Diamond,Living Objects
105,sphinx,Epic,35000000,1/35.0M,35000000,5,70000000,Diamond,Mythical
106,ifrit,Epic,45000000,1/45.0M,45000000,5,90000000,Diamond,Dark Forces
107,phoenix,Heroic,50000000,1/50.0M,50000000,5,100000000,Diamond,Mythical
108,djinn,Heroic,120000000,1/120.0M,120000000,5,240000000,Diamond,Mythical
109,cheshire_cat,Heroic,200000000,1/200.0M,200000000,5,400000000,Diamond,Felines
110,chinese_dragon,Mythic,350000000,1/350.0M,350000000,5,700000000,Master,Asian | Mythical
111,beholder,Ancient,600000000,1/600.0M,600000000,5,1200000000,Master,Dark Forces
112,grim_reaper,Legendary,800000000,1/800.0M,800000000,5,1600000000,Master,Undead | Dark Forces
